ticker,date,open,high,low,close,volume,closeadjusted
IDTL.UK,31/03/2015,4.2885,4.2928,4.2885,4.2928,696958,4.2928
IDTL.UK,1/04/2015,4.3233,4.3349,4.3233,4.3349,909266,4.3349
IDTL.UK,2/04/2015,4.361,4.361,4.319,4.319,94125,4.319
IDTL.UK,7/04/2015,4.2911,4.2911,4.277,4.277,701356,4.277
IDTL.UK,8/04/2015,4.3224,4.3224,4.3068,4.3068,258196,4.3068
IDTL.UK,9/04/2015,4.3181,4.3181,4.3033,4.3033,12660,4.3033
IDTL.UK,10/04/2015,4.2915,4.2915,4.2915,4.2915,2960,4.2915
IDTL.UK,13/04/2015,4.2832,4.2832,4.2815,4.2815,6275,4.2815
IDTL.UK,15/04/2015,4.3391,4.3391,4.3391,4.3391,1503,4.3391
IDTL.UK,16/04/2015,4.3242,4.3242,4.3242,4.3242,5883,4.3242
IDTL.UK,17/04/2015,4.2726,4.2876,4.2726,4.2876,32487,4.2876
IDTL.UK,20/04/2015,4.3207,4.3262,4.3089,4.3155,28698,4.3155
IDTL.UK,21/04/2015,4.334,4.334,4.334,4.334,832,4.334
IDTL.UK,22/04/2015,4.2579,4.2579,4.2544,4.2544,12525,4.2544
IDTL.UK,23/04/2015,4.2351,4.2351,4.2102,4.2186,18254,4.2186
IDTL.UK,24/04/2015,4.2483,4.2483,4.2483,4.2483,11765,4.2483
IDTL.UK,27/04/2015,4.2544,4.2544,4.237,4.2382,681647,4.2382
IDTL.UK,29/04/2015,4.2001,4.2001,4.1862,4.1862,2157,4.1862
IDTL.UK,30/04/2015,4.105,4.105,4.105,4.105,22545,4.105
IDTL.UK,5/05/2015,4.0979,4.0979,4.0271,4.029,106296,4.029
IDTL.UK,6/05/2015,3.9965,3.9984,3.9965,3.9984,460,3.9984
IDTL.UK,7/05/2015,4.0281,4.0281,3.9581,4.0227,30249,4.0227
IDTL.UK,8/05/2015,4.0429,4.0717,4.0429,4.0717,15702,4.0717
IDTL.UK,12/05/2015,3.9075,3.9301,3.9075,3.9301,53489,3.9301
IDTL.UK,14/05/2015,3.9505,3.9505,3.9346,3.9346,28900,3.9346
IDTL.UK,15/05/2015,3.9704,3.9756,3.9677,3.9677,1416,3.9677
IDTL.UK,18/05/2015,3.9948,3.9948,3.9948,3.9948,5703,3.9948
IDTL.UK,19/05/2015,3.9818,3.9818,3.932,3.932,3076,3.932
IDTL.UK,20/05/2015,3.9232,3.9232,3.9223,3.9223,785928,3.9223
IDTL.UK,21/05/2015,3.953,3.9607,3.9512,3.9607,278278,3.9607
IDTL.UK,22/05/2015,3.9495,3.9957,3.9495,3.9957,1068,3.9957
IDTL.UK,26/05/2015,3.9984,4.0243,3.9939,4.0243,208827,4.0243
IDTL.UK,27/05/2015,4.0324,4.0324,4.0227,4.0271,685764,4.0271
IDTL.UK,28/05/2015,4.063,4.063,4.0281,4.0281,31876,4.0281
IDTL.UK,29/05/2015,4.0324,4.0324,4.0306,4.0306,17459,4.0306
IDTL.UK,2/06/2015,3.9254,3.9254,3.9254,3.9254,35577,3.9254
IDTL.UK,3/06/2015,3.9485,3.9485,3.9258,3.9258,6418,3.9258
IDTL.UK,4/06/2015,3.8717,3.8882,3.8717,3.8882,2303,3.8882
IDTL.UK,5/06/2015,3.9022,3.9022,3.8639,3.8639,601,3.8639
IDTL.UK,8/06/2015,3.8767,3.8813,3.8708,3.8745,660799,3.8745
IDTL.UK,9/06/2015,3.9047,3.9047,3.8647,3.8654,156494,3.8654
IDTL.UK,10/06/2015,3.7982,3.7982,3.7982,3.7982,508,3.7982
IDTL.UK,11/06/2015,3.8191,3.8191,3.8191,3.8191,786,3.8191
IDTL.UK,12/06/2015,3.8708,3.8743,3.8708,3.8743,2059,3.8743
IDTL.UK,15/06/2015,3.8936,3.8936,3.8936,3.8936,10,3.8936
IDTL.UK,16/06/2015,3.9092,3.9092,3.9078,3.9078,139137,3.9078
IDTL.UK,17/06/2015,3.9354,3.9354,3.9032,3.9032,1505,3.9032
IDTL.UK,18/06/2015,3.9056,3.9056,3.8523,3.8523,1078,3.8523
IDTL.UK,19/06/2015,3.8639,3.9013,3.8639,3.9013,2301,3.9013
IDTL.UK,22/06/2015,3.8689,3.8689,3.8523,3.8523,1271822,3.8523
IDTL.UK,24/06/2015,3.8375,3.8375,3.8375,3.8375,9499,3.8375
IDTL.UK,25/06/2015,3.835,3.8532,3.834,3.834,12124,3.834
IDTL.UK,26/06/2015,3.8375,3.8375,3.7946,3.7946,21131,3.7946
IDTL.UK,30/06/2015,3.8759,3.8759,3.8759,3.8759,67666,3.8759
IDTL.UK,1/07/2015,3.8402,3.8402,3.8402,3.8402,91,3.8402
IDTL.UK,6/07/2015,3.8751,3.8751,3.8751,3.8751,1145,3.8751
IDTL.UK,7/07/2015,3.897,3.9636,3.897,3.9636,131743,3.9636
IDTL.UK,8/07/2015,3.9713,3.9713,3.9505,3.9505,420995,3.9505
IDTL.UK,9/07/2015,3.9407,3.9407,3.9407,3.9407,19813,3.9407
IDTL.UK,10/07/2015,3.8578,3.8578,3.8324,3.8324,20378,3.8324
IDTL.UK,13/07/2015,3.815,3.815,3.815,3.815,568,3.815
IDTL.UK,14/07/2015,3.814,3.814,3.814,3.814,232,3.814
IDTL.UK,16/07/2015,3.8593,3.8654,3.8523,3.8654,1967304,3.8654
IDTL.UK,17/07/2015,3.8996,3.9044,3.8996,3.9044,177347,3.9044
IDTL.UK,20/07/2015,3.8986,3.9123,3.8917,3.8917,835106,3.8917
IDTL.UK,21/07/2015,3.8943,3.8966,3.89,3.8966,67339,3.8966
IDTL.UK,22/07/2015,3.9407,3.9407,3.9407,3.9407,67433,3.9407
IDTL.UK,24/07/2015,3.973,3.973,3.973,3.973,27640,3.973
IDTL.UK,27/07/2015,4.0044,4.0098,4.0044,4.0098,389614,4.0098
IDTL.UK,28/07/2015,3.9975,3.9975,3.9975,3.9975,312091,3.9975
IDTL.UK,29/07/2015,3.9965,3.9965,3.9733,3.9733,9757,3.9733
IDTL.UK,3/08/2015,4.0517,4.0587,4.0517,4.0587,5454,4.0587
IDTL.UK,7/08/2015,4.0892,4.0901,4.0892,4.0901,52226,4.0901
IDTL.UK,10/08/2015,4.0673,4.0673,4.0635,4.0635,361188,4.0635
IDTL.UK,11/08/2015,4.112,4.1503,4.112,4.1503,109250,4.1503
IDTL.UK,13/08/2015,4.0857,4.0989,4.0857,4.0989,13767,4.0989
IDTL.UK,14/08/2015,4.0883,4.0883,4.0883,4.0883,3736,4.0883
IDTL.UK,17/08/2015,4.1172,4.1189,4.1101,4.1189,38741,4.1189
IDTL.UK,18/08/2015,4.095,4.1006,4.095,4.1006,1147126,4.1006
IDTL.UK,19/08/2015,4.0892,4.1084,4.0892,4.1084,13438,4.1084
IDTL.UK,20/08/2015,4.1471,4.1471,4.1471,4.1471,9973,4.1471
IDTL.UK,21/08/2015,4.1705,4.1705,4.1705,4.1705,17971,4.1705
IDTL.UK,24/08/2015,4.1957,4.2604,4.1818,4.1857,1353406,4.1857
IDTL.UK,25/08/2015,4.1977,4.1977,4.095,4.095,218712,4.095
IDTL.UK,26/08/2015,4.1128,4.1128,4.0472,4.0504,618939,4.0504
IDTL.UK,27/08/2015,4.0412,4.042,4.0306,4.0306,46435,4.0306
IDTL.UK,28/08/2015,4.0403,4.0403,4.0403,4.0403,17196,4.0403
IDTL.UK,1/09/2015,4.0517,4.0542,4.011,4.0212,1294070,4.0212
IDTL.UK,2/09/2015,4.0096,4.0193,4.0096,4.0193,572239,4.0193
IDTL.UK,3/09/2015,4.0193,4.0227,4.0193,4.022,16098,4.022
IDTL.UK,4/09/2015,4.0551,4.0646,4.0551,4.0646,19849,4.0646
